gene	status	best_classification	disease_title	moi	submitters	n_assertions	supporting_pmids	query_date
AGXT	found	Definitive	primary hyperoxaluria type 1 / alanine glyoxylate aminotransferase deficiency	AR	Ambry Genetics; ClinGen; G2P; Myriad Women's Health; Natera	8	1349575, 2039493, 8101040, 16931222, 17110443, 18810341, 24309898, 26383609, 27659337, 27915025, 30341509;8101040	2026-08-28
AHI1	found	Definitive	Joubert syndrome 3	AR	Ambry Genetics; ClinGen; G2P; Laboratory for Molecular Medicine	10	15322546, 15467982, 16453322, 21623382, 23532844, 25616960;15467982, 16155189, 16240161, 16453322, 25356976, 25616960, 28442542	2026-08-28
APRT	found	Definitive	adenine phosphoribosyltransferase deficiency	AR	Ambry Genetics	4		2026-08-28
ATP6V0A4	found	Strong	renal tubular acidosis, distal, 3, with or without sensorineural hearing loss	AR	Ambry Genetics; Labcorp Genetics (formerly Invitae); PanelApp Australia	4	10973252, 12414817;12414817, 16611712	2026-08-28
ATP6V1B1	found	Definitive	renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss / autosomal dominant distal renal tubular acidosis	AR	ClinGen; G2P; Natera	8	9916796, 12566520, 18798332;9916796, 16174750, 28188436, 28844315, 28934385, 35738466, 35990030	2026-08-28
AVPR2	found	Definitive	diabetes insipidus, nephrogenic, X-linked	XL	Ambry Genetics	8		2026-08-28
BBS10	found	Definitive	BBS10-related ciliopathy / Bardet-Biedl syndrome 10	AR	ClinGen; G2P; Myriad Women's Health; Natera	8	16582908, 17106446, 20080638, 20472660, 26082521, 26273430, 26518167, 28143435, 33572860, 33630762, 34940782, 36084042, 36125046, 37031301;16582908, 20805367, 26762677	2026-08-28
CASR	found	Definitive	neonatal severe primary hyperparathyroidism / familial hypocalciuric hypercalcemia 1 / autosomal dominant hypocalcemia 1	AD	ClinGen; Illumina	15	7493018, 7717399, 7726161, 7759551, 7916660, 8675635, 8878438, 22422767, 23817301, 35380381;7493018, 7717399, 7759551, 7916660, 8878438, 23817301, 24735972, 29354167, 30376845, 34111698, 34887979, 35380381, 37246686;7493018, 7726161, 8675635, 9011580, 10843194, 23966241, 26963950, 34169121;8132750, 8733126, 8813042, 9253358, 9920108, 10487661, 10770217, 12050233, 12574188, 12915654, 15347804, 27647839;8733126, 8813042, 9253358, 12107202, 12191970, 14677060, 19915295, 22422767, 25766501, 29743878, 33506158, 35402765, 35818129	2026-08-28
CD46	found	Definitive	atypical hemolytic-uremic syndrome with MCP/CD46 anomaly / atypical hemolytic-uremic syndrome	AD/AR	Ambry Genetics; ClinGen	5	1588280, 14566051, 14615110, 16762990, 17027083, 20513133, 23780777, 29644059, 30958843, 33238263	2026-08-28
CEP290	found	Definitive	CEP290-related ciliopathy / Joubert syndrome 5	AR	ClinGen; G2P; Natera	12	16632484, 16682970, 16682973, 16909394, 17345604, 17507457, 17554762, 18723859, 23028714, 24807808, 27434533;16682970, 16682973, 16909394, 17554762, 17564967, 17564974, 17617513, 17705300, 18327255, 19764032, 20690115, 22355252, 24175892, 24850569, 29217415, 31464256, 31840411, 31970223, 32208788, 32600475	2026-08-28
CFH	found	Definitive	C3 glomerulonephritis / atypical hemolytic-uremic syndrome	AR	ClinGen	10	7883953, 9312129, 12091909, 14978182, 16612335, 37615951;83964, 12424708, 14978182, 16338962, 17517971, 28057640, 28941939	2026-08-28
CLCN5	found	Definitive	Dent disease type 1	XL	Ambry Genetics; ClinGen	4	8559248, 9653142, 9734595, 11099045, 15942052, 16822791, 29084614, 30581818	2026-08-28
COL4A3	found	Definitive	Alport syndrome / autosomal recessive Alport syndrome / Alport syndrome 3b, autosomal recessive	AD/AR	ClinGen; G2P; Myriad Women's Health; Natera	13	7633417, 7780062, 7783419, 7987301, 7987396, 9792860, 17726307, 18436078, 23297803, 23927549, 26194984, 28509228, 28856578, 29946535, 31925849, 33524082, 34888854;7987396, 14507670, 14633121, 14871398, 16775036, 24262798, 26346198, 28495876, 32743880, 33532864, 33718859, 33838161;9269635, 11044206, 11134255, 11961012, 17396119, 17942953, 18439107, 20177710, 25229338, 25450602, 25888712, 29089023, 29742505, 30661074, 30881523, 34589218	2026-08-28
COL4A4	found	Definitive	autosomal recessive Alport syndrome / Alport syndrome	AR	Ambry Genetics; ClinGen; G2P; Myriad Women's Health; Natera	12	7987396, 9195222, 9792860, 10534397, 11961012, 21196518, 24522496, 31892712, 33532864;7987396, 9269635	2026-08-28
COL4A5	found	Definitive	Alport syndrome / X-linked Alport syndrome	XL	ClinGen; G2P; Myriad Women's Health; Natera	7	10563487, 14993485, 15153557, 16301374, 23085274, 25572247, 27725546, 27796712, 28542346, 30582011;1474765, 2349482, 8651296	2026-08-28
CTNS	found	Definitive	nephropathic cystinosis / cystinosis	AR	Ambry Genetics; ClinGen; G2P; Myriad Women's Health; Natera	12	9537412, 10482956, 10556299, 10625078, 11565547, 11689434, 12370309, 19846395, 19852576, 24464559, 25326109, 28198397;9537412, 9792862, 10444339, 10556299, 10625078, 10673275, 11505338, 11565547, 12442267, 18178779, 19863563	2026-08-28
DNAJB11	found	Definitive	autosomal dominant polycystic kidney disease	AD	ClinGen	8	29706351, 32631624, 37332102	2026-08-28
HNF1B	found	Definitive	renal cysts and diabetes syndrome	AD	ClinGen; G2P	14	9398836, 10484768, 10720943, 11085914, 11317673, 11562418, 12675839, 15068978, 15181075, 17440011;9398836, 12161522, 15068978, 15142986, 15668393, 16837621, 20378641, 23715323, 24309898, 25441779, 25705165, 25754277, 26876668, 27059371	2026-08-28
LMX1B	found	Definitive	nail-patella syndrome	AD	ClinGen; G2P	6	9590287, 9590288, 9837817, 10660670, 10767331, 15774843, 18414507, 32457516;9590287, 9618165, 9837817, 10854116, 18414507	2026-08-28
MUC1	found	Definitive	tubulointerstitial kidney disease, autosomal dominant, 2	AD	ClinGen	5	23396133, 29156055, 29967284, 31348885, 31509055, 32450155	2026-08-28
NPHP1	found	Definitive	nephronophthisis 1 / Joubert syndrome with renal defect	AR	ClinGen; G2P	10	15661758, 16762963, 16885411, 18684731, 19755384, 21596840, 23559409, 26540106, 29449453, 29650680, 29654215;8852662, 9326933, 9382140, 10839884	2026-08-28
NPHP4	found	Definitive	nephronophthisis 4 / Senior-Loken syndrome 4	AR	Ambry Genetics; ClinGen; G2P	9	12205563, 12244321, 15661758, 15776426, 15817158, 16339905, 19755384, 21078623, 23188109, 23559409;12244321	2026-08-28
NPHS1	found	Definitive	congenital nephrotic syndrome, Finnish type	AR	ClinGen; G2P; Myriad Women's Health; Natera	8	9660941, 10577936, 10652016, 11854170, 17290294;9660941, 9915943, 10972661, 11136707, 11562357, 11726550, 19948823	2026-08-28
NPHS2	found	Definitive	nephrotic syndrome, type 2	AR	G2P; Illumina; Myriad Women's Health; Natera	8	10742096, 14570703, 17371932, 23242530, 29049388;8589695, 8606597, 10742096, 12464671	2026-08-28
PKD1	found	Definitive	autosomal recessive polycystic kidney disease / autosomal dominant polycystic kidney disease / polycystic kidney disease 1	AD	ClinGen; Laboratory for Molecular Medicine	8	8004675, 8792818, 8981910, 9192675, 11012875, 11106764, 11891195, 15496422, 18640754, 22508176, 23064367;8981910, 9326937, 11106764, 11891195, 19165178, 20558538, 23064367, 23624871, 26139440, 30631912, 31427367, 33168999	2026-08-28
PKD2	found	Definitive	autosomal dominant polycystic kidney disease	AD	ClinGen	6	8650545, 9192675, 9326320, 9568711, 9573526, 10411676, 10770959, 11891195, 16135816, 23985799, 26435415, 29529603	2026-08-28
PKHD1	found	Definitive	autosomal recessive polycystic kidney disease / polycystic kidney disease 4	AR	ClinGen; G2P; Laboratory for Molecular Medicine; Myriad Women's Health; Natera	11	11919560, 12506140, 12925574, 14983006, 18782757;11919560, 12506140, 19021639	2026-08-28
SLC12A3	found	Definitive	Gitelman syndrome	AR	Natera	4		2026-08-28
SLC4A1	found	Strong	renal tubular acidosis, distal, 4, with hemolytic anemia / southeast Asian ovalocytosis / hereditary spherocytosis type 4	AD	G2P; Labcorp Genetics (formerly Invitae); PanelApp Australia	15	1464593, 1722314, 7949112, 8251392, 8486716;7949112, 8640229, 15211439, 16227998, 32632909, 33881640;8943874, 18940465, 23255290;9312167, 9600966, 12750988;9854053, 10926824, 15211439, 25957428	2026-08-28
TMEM67	found	Definitive	Meckel syndrome, type 3 / ciliopathy / COACH syndrome 1	AR	Ambry Genetics; ClinGen; G2P	14	16415887, 17160906, 18327255, 19058225, 19211713, 19515853, 21725307, 22121117;16415887, 17377820;19508969	2026-08-28
TRPC6	found	Strong	focal segmental glomerulosclerosis 2	AD	Ambry Genetics; Labcorp Genetics (formerly Invitae); PanelApp Australia	4	15879175, 15924139, 32509715, 33918778, 34387384;15924139, 19129465, 19458060, 20798252, 21734084, 22187987, 23645677, 25349199, 30406062	2026-08-28
UMOD	found	Definitive	autosomal dominant medullary cystic kidney disease with or without hyperuricemia / glomerulocystic kidney disease with hyperuricemia and isosthenuria	AD	ClinGen; Laboratory for Molecular Medicine	6	12471200, 12629136, 12900848, 14531790, 14570709, 16883323, 27729211, 28990932, 32926855, 32954071	2026-08-28
WT1	found	Definitive	Denys-Drash syndrome / Wilms tumor 1	AD	ClinGen; G2P	7	1302008, 1327525, 1655284, 1658787, 8388765, 9499425, 10571943;1302008, 1655284, 9398852, 9529364, 10077614, 11278460, 15509792, 18203154;1654525, 2164159, 14645201, 15483024, 18688870, 21123950, 26035382;20301471	2026-08-28
