chrom	start	end	gene	feature_type
1	5852804	5862803	NPHP4	Flanking Down
1	5862804	5863264	NPHP4	UTR3
1	5863265	5863405	NPHP4	Exon/CDS
1	5863406	5863889	NPHP4	Intron
1	5863890	5864033	NPHP4	Exon/CDS
1	5864034	5864337	NPHP4	Intron
1	5864338	5864517	NPHP4	Exon/CDS
1	5864518	5865101	NPHP4	Intron
1	5865102	5865273	NPHP4	Exon/CDS
1	5865274	5866372	NPHP4	Intron
1	5866373	5866458	NPHP4	Exon/CDS
1	5866459	5867029	NPHP4	Intron
1	5867030	5867115	NPHP4	Exon/CDS
1	5867116	5867739	NPHP4	Intron
1	5867740	5867896	NPHP4	Exon/CDS
1	5867897	5873251	NPHP4	Intron
1	5873252	5873335	NPHP4	Exon/CDS
1	5873336	5874470	NPHP4	Intron
1	5874471	5874657	NPHP4	Exon/CDS
1	5874658	5874873	NPHP4	Intron
1	5874874	5875100	NPHP4	Exon/CDS
1	5875101	5877092	NPHP4	Intron
1	5877093	5877298	NPHP4	Exon/CDS
1	5877299	5880113	NPHP4	Intron
1	5880114	5880239	NPHP4	Exon/CDS
1	5880240	5887285	NPHP4	Intron
1	5887286	5887466	NPHP4	Exon/CDS
1	5887467	5890867	NPHP4	Intron
1	5890868	5891028	NPHP4	Exon/CDS
1	5891029	5904616	NPHP4	Intron
1	5904617	5904804	NPHP4	Exon/CDS
1	5904805	5905291	NPHP4	Intron
1	5905292	5905483	NPHP4	Exon/CDS
1	5905484	5905631	NPHP4	Intron
1	5905632	5905783	NPHP4	Exon/CDS
1	5905784	5907114	NPHP4	Intron
1	5907115	5907222	NPHP4	Exon/CDS
1	5907223	5909151	NPHP4	Intron
1	5909152	5909213	NPHP4	Exon/CDS
1	5909214	5927648	NPHP4	Intron
1	5927649	5927787	NPHP4	Exon/CDS
1	5927788	5933146	NPHP4	Intron
1	5933147	5933329	NPHP4	Exon/CDS
1	5933330	5947103	NPHP4	Intron
1	5947104	5947230	NPHP4	Exon/CDS
1	5947231	5948069	NPHP4	Intron
1	5948070	5948251	NPHP4	Exon/CDS
1	5948252	5952699	NPHP4	Intron
1	5952700	5952836	NPHP4	Exon/CDS
1	5952837	5961793	NPHP4	Intron
1	5961794	5961949	NPHP4	Exon/CDS
1	5961950	5967298	NPHP4	Intron
1	5967299	5967363	NPHP4	Exon/CDS
1	5967364	5969086	NPHP4	Intron
1	5969087	5969259	NPHP4	Exon/CDS
1	5969260	5978269	NPHP4	Intron
1	5978270	5978413	NPHP4	Exon/CDS
1	5978414	5986154	NPHP4	Intron
1	5986155	5986289	NPHP4	Exon/CDS
1	5986290	5993455	NPHP4	UTR5
1	5993456	6003455	NPHP4	Flanking UP
1	155175824	155185823	MUC1	Flanking Down
1	155185824	155186134	MUC1	UTR3
1	155186135	155186209	MUC1	Exon/CDS
1	155186210	155187224	MUC1	Intron
1	155187225	155187374	MUC1	Exon/CDS
1	155187375	155187454	MUC1	Intron
1	155187455	155187576	MUC1	Exon/CDS
1	155187577	155187721	MUC1	Intron
1	155187722	155187858	MUC1	Exon/CDS
1	155187859	155188007	MUC1	Intron
1	155188008	155188063	MUC1	Exon/CDS
1	155188064	155188162	MUC1	Intron
1	155188163	155188616	MUC1	Exon/CDS
1	155188617	155191907	MUC1	Intron
1	155191908	155192283	MUC1	Exon/CDS
1	155192284	155192785	MUC1	Intron
1	155192786	155192843	MUC1	Exon/CDS
1	155192844	155192916	MUC1	UTR5
1	155192917	155202916	MUC1	Flanking UP
1	179540494	179550493	NPHS2	Flanking Down
1	179550494	179551172	NPHS2	UTR3
1	179551173	179551451	NPHS2	Exon/CDS
1	179551452	179552602	NPHS2	Intron
1	179552603	179552681	NPHS2	Exon/CDS
1	179552682	179554475	NPHS2	Intron
1	179554476	179554531	NPHS2	Exon/CDS
1	179554532	179557026	NPHS2	Intron
1	179557027	179557230	NPHS2	Exon/CDS
1	179557231	179559678	NPHS2	Intron
1	179559679	179559761	NPHS2	Exon/CDS
1	179559762	179561288	NPHS2	Intron
1	179561289	179561361	NPHS2	Exon/CDS
1	179561362	179564689	NPHS2	Intron
1	179564690	179564793	NPHS2	Exon/CDS
1	179564794	179575590	NPHS2	Intron
1	179575591	179575864	NPHS2	Exon/CDS
1	179575865	179575952	NPHS2	UTR5
1	179575953	179585952	NPHS2	Flanking UP
1	196641754	196651753	CFH	Flanking UP
1	196651754	196652117	CFH	UTR5
1	196652118	196652175	CFH	Exon/CDS
1	196652176	196672977	CFH	Intron
1	196672978	196673163	CFH	Exon/CDS
1	196673164	196673856	CFH	Intron
1	196673857	196673962	CFH	Exon/CDS
1	196673963	196675988	CFH	Intron
1	196675989	196676065	CFH	Exon/CDS
1	196676066	196677475	CFH	Intron
1	196677476	196677667	CFH	Exon/CDS
1	196677668	196679622	CFH	Intron
1	196679623	196679793	CFH	Exon/CDS
1	196679794	196685063	CFH	Intron
1	196685064	196685237	CFH	Exon/CDS
1	196685238	196689419	CFH	Intron
1	196689420	196689614	CFH	Exon/CDS
1	196689615	196690062	CFH	Intron
1	196690063	196690239	CFH	Exon/CDS
1	196690240	196713734	CFH	Intron
1	196713735	196713917	CFH	Exon/CDS
1	196713918	196715592	CFH	Intron
1	196715593	196715769	CFH	Exon/CDS
1	196715770	196725120	CFH	Intron
1	196725121	196725297	CFH	Exon/CDS
1	196725298	196726469	CFH	Intron
1	196726470	196726652	CFH	Exon/CDS
1	196726653	196726760	CFH	Intron
1	196726761	196726940	CFH	Exon/CDS
1	196726941	196728345	CFH	Intron
1	196728346	196728522	CFH	Exon/CDS
1	196728523	196736823	CFH	Intron
1	196736824	196737006	CFH	Exon/CDS
1	196737007	196737474	CFH	Intron
1	196737475	196737660	CFH	Exon/CDS
1	196737661	196740618	CFH	Intron
1	196740619	196740792	CFH	Exon/CDS
1	196740793	196741874	CFH	Intron
1	196741875	196742051	CFH	Exon/CDS
1	196742052	196743451	CFH	Intron
1	196743452	196743628	CFH	Exon/CDS
1	196743629	196745816	CFH	Intron
1	196745817	196745999	CFH	Exon/CDS
1	196746000	196747110	CFH	Intron
1	196747111	196747313	CFH	Exon/CDS
1	196747314	196752476	CFH	UTR3
1	196752477	196762476	CFH	Flanking Down
1	207742037	207752036	CD46	Flanking UP
1	207752037	207752212	CD46	UTR5
1	207752213	207752309	CD46	Exon/CDS
1	207752310	207757013	CD46	Intron
1	207757014	207757202	CD46	Exon/CDS
1	207757203	207757539	CD46	Intron
1	207757540	207757642	CD46	Exon/CDS
1	207757643	207759638	CD46	Intron
1	207759639	207759724	CD46	Exon/CDS
1	207759725	207761248	CD46	Intron
1	207761249	207761446	CD46	Exon/CDS
1	207761447	207767012	CD46	Intron
1	207767013	207767195	CD46	Exon/CDS
1	207767196	207767778	CD46	Intron
1	207767779	207767823	CD46	Exon/CDS
1	207767824	207770320	CD46	Intron
1	207770321	207770362	CD46	Exon/CDS
1	207770363	207783291	CD46	Intron
1	207783292	207783330	CD46	Exon/CDS
1	207783331	207785070	CD46	Intron
1	207785071	207785106	CD46	Exon/CDS
1	207785107	207785618	CD46	Intron
1	207785619	207785682	CD46	Exon/CDS
1	207785683	207790252	CD46	Intron
1	207790253	207790304	CD46	Exon/CDS
1	207790305	207795513	CD46	UTR3
1	207795514	207805513	CD46	Flanking Down
2	70925771	70935770	ATP6V1B1	Flanking UP
2	70935771	70935954	ATP6V1B1	UTR5
2	70935955	70936072	ATP6V1B1	Exon/CDS
2	70936073	70943657	ATP6V1B1	Intron
2	70943658	70943713	ATP6V1B1	Exon/CDS
2	70943714	70958045	ATP6V1B1	Intron
2	70958046	70958144	ATP6V1B1	Exon/CDS
2	70958145	70958332	ATP6V1B1	Intron
2	70958333	70958426	ATP6V1B1	Exon/CDS
2	70958427	70959017	ATP6V1B1	Intron
2	70959018	70959095	ATP6V1B1	Exon/CDS
2	70959096	70959938	ATP6V1B1	Intron
2	70959939	70960078	ATP6V1B1	Exon/CDS
2	70960079	70960920	ATP6V1B1	Intron
2	70960921	70961022	ATP6V1B1	Exon/CDS
2	70961023	70961595	ATP6V1B1	Intron
2	70961596	70961693	ATP6V1B1	Exon/CDS
2	70961694	70962776	ATP6V1B1	Intron
2	70962777	70962900	ATP6V1B1	Exon/CDS
2	70962901	70963161	ATP6V1B1	Intron
2	70963162	70963312	ATP6V1B1	Exon/CDS
2	70963313	70963571	ATP6V1B1	Intron
2	70963572	70963654	ATP6V1B1	Exon/CDS
2	70963655	70964437	ATP6V1B1	Intron
2	70964438	70964542	ATP6V1B1	Exon/CDS
2	70964543	70964735	ATP6V1B1	Intron
2	70964736	70964865	ATP6V1B1	Exon/CDS
2	70964866	70964957	ATP6V1B1	Intron
2	70964958	70965121	ATP6V1B1	Exon/CDS
2	70965122	70965431	ATP6V1B1	UTR3
2	70965432	70975431	ATP6V1B1	Flanking Down
2	110112311	110122310	NPHP1	Flanking Down
2	110122311	110123790	NPHP1	UTR3
2	110123791	110124063	NPHP1	Exon/CDS
2	110124064	110125636	NPHP1	Intron
2	110125637	110125681	NPHP1	Exon/CDS
2	110125682	110129185	NPHP1	Intron
2	110129186	110129259	NPHP1	Exon/CDS
2	110129260	110131678	NPHP1	Intron
2	110131679	110131791	NPHP1	Exon/CDS
2	110131792	110143541	NPHP1	Intron
2	110143542	110143641	NPHP1	Exon/CDS
2	110143642	110144492	NPHP1	Intron
2	110144493	110144569	NPHP1	Exon/CDS
2	110144570	110146752	NPHP1	Intron
2	110146753	110146835	NPHP1	Exon/CDS
2	110146836	110147915	NPHP1	Intron
2	110147916	110148026	NPHP1	Exon/CDS
2	110148027	110150181	NPHP1	Intron
2	110150182	110150256	NPHP1	Exon/CDS
2	110150257	110160126	NPHP1	Intron
2	110160127	110160255	NPHP1	Exon/CDS
2	110160256	110161602	NPHP1	Intron
2	110161603	110161697	NPHP1	Exon/CDS
2	110161698	110163047	NPHP1	Intron
2	110163048	110163135	NPHP1	Exon/CDS
2	110163136	110164687	NPHP1	Intron
2	110164688	110164730	NPHP1	Exon/CDS
2	110164731	110165051	NPHP1	Intron
2	110165052	110165155	NPHP1	Exon/CDS
2	110165156	110168451	NPHP1	Intron
2	110168452	110168553	NPHP1	Exon/CDS
2	110168554	110169805	NPHP1	Intron
2	110169806	110169998	NPHP1	Exon/CDS
2	110169999	110178422	NPHP1	Intron
2	110178423	110178547	NPHP1	Exon/CDS
2	110178548	110179623	NPHP1	Intron
2	110179624	110179684	NPHP1	Exon/CDS
2	110179685	110201420	NPHP1	Intron
2	110201421	110201494	NPHP1	Exon/CDS
2	110201495	110204899	NPHP1	Intron
2	110204900	110204968	NPHP1	Exon/CDS
2	110204969	110205066	NPHP1	UTR5
2	110205067	110215066	NPHP1	Flanking UP
2	226992714	227002713	COL4A4	Flanking Down
2	227002714	227007324	COL4A4	UTR3
2	227007325	227007588	COL4A4	Exon/CDS
2	227007589	227008017	COL4A4	Intron
2	227008018	227008304	COL4A4	Exon/CDS
2	227008305	227010312	COL4A4	Intron
2	227010313	227010501	COL4A4	Exon/CDS
2	227010502	227012180	COL4A4	Intron
2	227012181	227012297	COL4A4	Exon/CDS
2	227012298	227022047	COL4A4	Intron
2	227022048	227022173	COL4A4	Exon/CDS
2	227022174	227025801	COL4A4	Intron
2	227025802	227025810	COL4A4	Exon/CDS
2	227025811	227027901	COL4A4	Intron
2	227027902	227028009	COL4A4	Exon/CDS
2	227028010	227030442	COL4A4	Intron
2	227030443	227030598	COL4A4	Exon/CDS
2	227030599	227031944	COL4A4	Intron
2	227031945	227032055	COL4A4	Exon/CDS
2	227032056	227032147	COL4A4	Intron
2	227032148	227032276	COL4A4	Exon/CDS
2	227032277	227033409	COL4A4	Intron
2	227033410	227033481	COL4A4	Exon/CDS
2	227033482	227042147	COL4A4	Intron
2	227042148	227042255	COL4A4	Exon/CDS
2	227042256	227043076	COL4A4	Intron
2	227043077	227043184	COL4A4	Exon/CDS
2	227043185	227047474	COL4A4	Intron
2	227047475	227047549	COL4A4	Exon/CDS
2	227047550	227050067	COL4A4	Intron
2	227050068	227050131	COL4A4	Exon/CDS
2	227050132	227050976	COL4A4	Intron
2	227050977	227051158	COL4A4	Exon/CDS
2	227051159	227052304	COL4A4	Intron
2	227052305	227052412	COL4A4	Exon/CDS
2	227052413	227054593	COL4A4	Intron
2	227054594	227054737	COL4A4	Exon/CDS
2	227054738	227055944	COL4A4	Intron
2	227055945	227056115	COL4A4	Exon/CDS
2	227056116	227057438	COL4A4	Intron
2	227057439	227057600	COL4A4	Exon/CDS
2	227057601	227059404	COL4A4	Intron
2	227059405	227059623	COL4A4	Exon/CDS
2	227059624	227060135	COL4A4	Intron
2	227060136	227060243	COL4A4	Exon/CDS
2	227060244	227062529	COL4A4	Intron
2	227062530	227062598	COL4A4	Exon/CDS
2	227062599	227077893	COL4A4	Intron
2	227077894	227078077	COL4A4	Exon/CDS
2	227078078	227080442	COL4A4	Intron
2	227080443	227080549	COL4A4	Exon/CDS
2	227080550	227082114	COL4A4	Intron
2	227082115	227082187	COL4A4	Exon/CDS
2	227082188	227088652	COL4A4	Intron
2	227088653	227088816	COL4A4	Exon/CDS
2	227088817	227089867	COL4A4	Intron
2	227089868	227089957	COL4A4	Exon/CDS
2	227089958	227094124	COL4A4	Intron
2	227094125	227094289	COL4A4	Exon/CDS
2	227094290	227098693	COL4A4	Intron
2	227098694	227098798	COL4A4	Exon/CDS
2	227098799	227099619	COL4A4	Intron
2	227099620	227099689	COL4A4	Exon/CDS
2	227099690	227101503	COL4A4	Intron
2	227101504	227101557	COL4A4	Exon/CDS
2	227101558	227101864	COL4A4	Intron
2	227101865	227101909	COL4A4	Exon/CDS
2	227101910	227102788	COL4A4	Intron
2	227102789	227102848	COL4A4	Exon/CDS
2	227102849	227103143	COL4A4	Intron
2	227103144	227103197	COL4A4	Exon/CDS
2	227103198	227103971	COL4A4	Intron
2	227103972	227104052	COL4A4	Exon/CDS
2	227104053	227108580	COL4A4	Intron
2	227108581	227108622	COL4A4	Exon/CDS
2	227108623	227108832	COL4A4	Intron
2	227108833	227108868	COL4A4	Exon/CDS
2	227108869	227109223	COL4A4	Intron
2	227109224	227109286	COL4A4	Exon/CDS
2	227109287	227111677	COL4A4	Intron
2	227111678	227111713	COL4A4	Exon/CDS
2	227111714	227114627	COL4A4	Intron
2	227114628	227114696	COL4A4	Exon/CDS
2	227114697	227118644	COL4A4	Intron
2	227118645	227118761	COL4A4	Exon/CDS
2	227118762	227119894	COL4A4	Intron
2	227119895	227119939	COL4A4	Exon/CDS
2	227119940	227121013	COL4A4	Intron
2	227121014	227121148	COL4A4	Exon/CDS
2	227121149	227140160	COL4A4	Intron
2	227140161	227140238	COL4A4	Exon/CDS
2	227140239	227144515	COL4A4	Intron
2	227144516	227144558	COL4A4	Exon/CDS
2	227144559	227147412	COL4A4	Intron
2	227147413	227147483	COL4A4	Exon/CDS
2	227147484	227164453	COL4A4	UTR5
2	227154624	227164623	COL4A3	Flanking UP
2	227164454	227174453	COL4A4	Flanking UP
2	227164624	227164726	COL4A3	UTR5
2	227164727	227164813	COL4A3	Exon/CDS
2	227164814	227237967	COL4A3	Intron
2	227237968	227238024	COL4A3	Exon/CDS
2	227238025	227240142	COL4A3	Intron
2	227240143	227240232	COL4A3	Exon/CDS
2	227240233	227244319	COL4A3	Intron
2	227244320	227244364	COL4A3	Exon/CDS
2	227244365	227244950	COL4A3	Intron
2	227244951	227244995	COL4A3	Exon/CDS
2	227244996	227245953	COL4A3	Intron
2	227245954	227246016	COL4A3	Exon/CDS
2	227246017	227246684	COL4A3	Intron
2	227246685	227246738	COL4A3	Exon/CDS
2	227246739	227247557	COL4A3	Intron
2	227247558	227247584	COL4A3	Exon/CDS
2	227247585	227248442	COL4A3	Intron
2	227248443	227248520	COL4A3	Exon/CDS
2	227248521	227251139	COL4A3	Intron
2	227251140	227251202	COL4A3	Exon/CDS
2	227251203	227251335	COL4A3	Intron
2	227251336	227251371	COL4A3	Exon/CDS
2	227251372	227253295	COL4A3	Intron
2	227253296	227253337	COL4A3	Exon/CDS
2	227253338	227253560	COL4A3	Intron
2	227253561	227253638	COL4A3	Exon/CDS
2	227253639	227254111	COL4A3	Intron
2	227254112	227254174	COL4A3	Exon/CDS
2	227254175	227254655	COL4A3	Intron
2	227254656	227254715	COL4A3	Exon/CDS
2	227254716	227256025	COL4A3	Intron
2	227256026	227256070	COL4A3	Exon/CDS
2	227256071	227256342	COL4A3	Intron
2	227256343	227256396	COL4A3	Exon/CDS
2	227256397	227257602	COL4A3	Intron
2	227257603	227257644	COL4A3	Exon/CDS
2	227257645	227259792	COL4A3	Intron
