gene	chrom	exon_start	exon_end	splice_start	splice_end
AGXT	2	240868824	240869030	240868816	240869038
AGXT	2	240869170	240869362	240869162	240869370
AGXT	2	240870644	240870708	240870636	240870716
AGXT	2	240871349	240871449	240871341	240871457
AGXT	2	240872979	240873049	240872971	240873057
AGXT	2	240873978	240874062	240873970	240874070
AGXT	2	240875109	240875204	240875101	240875212
AGXT	2	240875935	240876004	240875927	240876012
AGXT	2	240877537	240877632	240877529	240877640
AGXT	2	240878022	240878150	240878014	240878158
AGXT	2	240878714	240880500	240878706	240880508
AHI1	6	135497583	135497740	135497575	135497748
AHI1	6	135497188	135497249	135497180	135497257
AHI1	6	135495814	135495898	135495806	135495906
AHI1	6	135492228	135492291	135492220	135492299
AHI1	6	135490623	135490747	135490615	135490755
AHI1	6	135467581	135467634	135467573	135467642
AHI1	6	135465814	135466373	135465806	135466381
AHI1	6	135463125	135463306	135463117	135463314
AHI1	6	135457494	135457713	135457486	135457721
AHI1	6	135455734	135455926	135455726	135455934
AHI1	6	135453341	135453436	135453333	135453444
AHI1	6	135448290	135448475	135448282	135448483
AHI1	6	135447008	135447160	135447000	135447168
AHI1	6	135442582	135442714	135442574	135442722
AHI1	6	135438375	135438498	135438367	135438506
AHI1	6	135433027	135433256	135433019	135433264
AHI1	6	135431208	135431314	135431200	135431322
AHI1	6	135429882	135430000	135429874	135430008
AHI1	6	135428629	135428759	135428621	135428767
AHI1	6	135427167	135427307	135427159	135427315
AHI1	6	135411348	135411544	135411340	135411552
AHI1	6	135404951	135404977	135404943	135404985
AHI1	6	135394776	135394896	135394768	135394904
AHI1	6	135358132	135358187	135358124	135358195
AHI1	6	135323162	135323324	135323154	135323332
AHI1	6	135318519	135318616	135318511	135318624
AHI1	6	135300500	135300558	135300492	135300566
AHI1	6	135290423	135290525	135290415	135290533
AHI1	6	135283532	135285647	135283524	135285655
APRT	16	88811820	88811928	88811812	88811936
APRT	16	88811550	88811656	88811542	88811664
APRT	16	88810423	88810556	88810415	88810564
APRT	16	88810070	88810148	88810062	88810156
APRT	16	88809339	88809840	88809331	88809848
ATP6V0A4	7	138798034	138798196	138798026	138798204
ATP6V0A4	7	138786158	138786260	138786150	138786268
ATP6V0A4	7	138771131	138771264	138771123	138771272
ATP6V0A4	7	138769173	138769251	138769165	138769259
ATP6V0A4	7	138768780	138768874	138768772	138768882
ATP6V0A4	7	138762900	138763025	138762892	138763033
ATP6V0A4	7	138762340	138762434	138762332	138762442
ATP6V0A4	7	138759752	138759878	138759744	138759886
ATP6V0A4	7	138756458	138756540	138756450	138756548
ATP6V0A4	7	138755689	138755782	138755681	138755790
ATP6V0A4	7	138752625	138752837	138752617	138752845
ATP6V0A4	7	138749167	138749317	138749159	138749325
ATP6V0A4	7	138747425	138747564	138747417	138747572
ATP6V0A4	7	138745123	138745280	138745115	138745288
ATP6V0A4	7	138739540	138739633	138739532	138739641
ATP6V0A4	7	138734136	138734254	138734128	138734262
ATP6V0A4	7	138732877	138733093	138732869	138733101
ATP6V0A4	7	138728761	138728862	138728753	138728870
ATP6V0A4	7	138721897	138722025	138721889	138722033
ATP6V0A4	7	138715764	138715881	138715756	138715889
ATP6V0A4	7	138709624	138709795	138709616	138709803
ATP6V0A4	7	138706294	138706717	138706286	138706725
ATP6V1B1	2	70935900	70936072	70935892	70936080
ATP6V1B1	2	70943658	70943713	70943650	70943721
ATP6V1B1	2	70958046	70958144	70958038	70958152
ATP6V1B1	2	70958333	70958426	70958325	70958434
ATP6V1B1	2	70959018	70959095	70959010	70959103
ATP6V1B1	2	70959939	70960078	70959931	70960086
ATP6V1B1	2	70960921	70961022	70960913	70961030
ATP6V1B1	2	70961596	70961693	70961588	70961701
ATP6V1B1	2	70962777	70962900	70962769	70962908
ATP6V1B1	2	70963162	70963312	70963154	70963320
ATP6V1B1	2	70963572	70963654	70963564	70963662
ATP6V1B1	2	70964438	70964542	70964430	70964550
ATP6V1B1	2	70964736	70964865	70964728	70964873
ATP6V1B1	2	70964958	70965431	70964950	70965439
AVPR2	X	153904673	153904771	153904665	153904779
AVPR2	X	153904974	153905170	153904966	153905178
AVPR2	X	153905532	153906416	153905524	153906424
AVPR2	X	153906523	153907166	153906515	153907174
BBS10	12	76348162	76348415	76348154	76348423
BBS10	12	76344474	76347787	76344466	76347795
CASR	3	122183668	122183812	122183660	122183820
CASR	3	122253948	122254374	122253940	122254382
CASR	3	122257081	122257387	122257073	122257395
CASR	3	122261528	122262412	122261520	122262420
CASR	3	122275812	122276042	122275804	122276050
CASR	3	122282113	122282236	122282105	122282244
CASR	3	122283687	122291629	122283679	122291637
