gene	chrom	exon_start	exon_end	splice_start	splice_end
ABRAXAS1	4	83484986	83485072	83484978	83485080
ABRAXAS1	4	83482154	83482244	83482146	83482252
ABRAXAS1	4	83476643	83476679	83476635	83476687
ABRAXAS1	4	83472222	83472288	83472214	83472296
ABRAXAS1	4	83470203	83470396	83470195	83470404
ABRAXAS1	4	83469032	83469151	83469024	83469159
ABRAXAS1	4	83467454	83467538	83467446	83467546
ABRAXAS1	4	83463494	83463608	83463486	83463616
ABRAXAS1	4	83462469	83462902	83462461	83462910
ACD	16	67660122	67660220	67660114	67660228
ACD	16	67659903	67660045	67659895	67660053
ACD	16	67659702	67659795	67659694	67659803
ACD	16	67659537	67659613	67659529	67659621
ACD	16	67659375	67659419	67659367	67659427
ACD	16	67659229	67659263	67659221	67659271
ACD	16	67658928	67659079	67658920	67659087
ACD	16	67658720	67658816	67658712	67658824
ACD	16	67658555	67658641	67658547	67658649
ACD	16	67657986	67658362	67657978	67658370
ACD	16	67657762	67657853	67657754	67657861
ACD	16	67657606	67657684	67657598	67657692
AIP	11	67483159	67483257	67483151	67483265
AIP	11	67487006	67487185	67486998	67487193
AIP	11	67489267	67489455	67489259	67489463
AIP	11	67490038	67490214	67490030	67490222
AIP	11	67490316	67490457	67490308	67490465
AIP	11	67490788	67490993	67490780	67491001
AKT1	14	104792598	104792643	104792590	104792651
AKT1	14	104780088	104780216	104780080	104780224
AKT1	14	104776659	104776770	104776651	104776778
AKT1	14	104775652	104775799	104775644	104775807
AKT1	14	104775076	104775207	104775068	104775215
AKT1	14	104774938	104775003	104774930	104775011
AKT1	14	104773912	104773980	104773904	104773988
AKT1	14	104773455	104773580	104773447	104773588
AKT1	14	104773251	104773379	104773243	104773387
AKT1	14	104772878	104773092	104772870	104773100
AKT1	14	104772365	104772452	104772357	104772460
AKT1	14	104770745	104770847	104770737	104770855
AKT1	14	104770341	104770420	104770333	104770428
ALK	2	29919993	29920659	29919985	29920667
ALK	2	29717578	29717697	29717570	29717705
ALK	2	29694850	29695014	29694842	29695022
ALK	2	29531915	29532116	29531907	29532124
ALK	2	29383732	29383859	29383724	29383867
ALK	2	29328350	29328481	29328342	29328489
ALK	2	29320751	29320882	29320743	29320890
ALK	2	29318304	29318404	29318296	29318412
ALK	2	29296888	29297057	29296880	29297065
ALK	2	29275402	29275496	29275394	29275504
ALK	2	29275099	29275227	29275091	29275235
ALK	2	29251105	29251267	29251097	29251275
ALK	2	29239680	29239830	29239672	29239838
ALK	2	29233565	29233696	29233557	29233704
ALK	2	29232304	29232448	29232296	29232456
ALK	2	29228884	29229066	29228876	29229074
ALK	2	29227574	29227672	29227566	29227680
ALK	2	29226922	29227074	29226914	29227082
ALK	2	29225461	29225565	29225453	29225573
ALK	2	29223342	29223528	29223334	29223536
ALK	2	29222517	29222607	29222509	29222615
ALK	2	29222344	29222408	29222336	29222416
ALK	2	29220706	29220835	29220698	29220843
ALK	2	29213984	29214081	29213976	29214089
ALK	2	29209786	29209878	29209778	29209886
ALK	2	29207171	29207272	29207163	29207280
ALK	2	29197542	29197676	29197534	29197684
ALK	2	29196770	29196860	29196762	29196868
ALK	2	29193224	29193922	29193216	29193930
ANKRD26	10	27100085	27100326	27100077	27100334
