chrom	start	end	gene	feature_type
chr4	83459517	83462469	ABRAXAS1	Flanking Up
chr4	83462469	83462902	ABRAXAS1	Exon/CDS
chr4	83462902	83463494	ABRAXAS1	Intron
chr4	83463494	83463608	ABRAXAS1	Exon/CDS
chr4	83463608	83467454	ABRAXAS1	Intron
chr4	83467454	83467538	ABRAXAS1	Exon/CDS
chr4	83467538	83469032	ABRAXAS1	Intron
chr4	83469032	83469151	ABRAXAS1	Exon/CDS
chr4	83469151	83470203	ABRAXAS1	Intron
chr4	83470203	83470396	ABRAXAS1	Exon/CDS
chr4	83470396	83472222	ABRAXAS1	Intron
chr4	83472222	83472288	ABRAXAS1	Exon/CDS
chr4	83472288	83476643	ABRAXAS1	Intron
chr4	83476643	83476679	ABRAXAS1	Exon/CDS
chr4	83476679	83482154	ABRAXAS1	Intron
chr4	83482154	83482244	ABRAXAS1	Exon/CDS
chr4	83482244	83484986	ABRAXAS1	Intron
chr4	83484986	83485072	ABRAXAS1	Exon/CDS
chr4	83485072	83524348	ABRAXAS1	Flanking Down
chr16	67657512	67657606	ACD	Flanking Up
chr16	67657606	67657684	ACD	Exon/CDS
chr16	67657684	67657762	ACD	Intron
chr16	67657762	67657853	ACD	Exon/CDS
chr16	67657853	67657986	ACD	Intron
chr16	67657986	67658362	ACD	Exon/CDS
chr16	67658362	67658555	ACD	Intron
chr16	67658555	67658641	ACD	Exon/CDS
chr16	67658641	67658720	ACD	Intron
chr16	67658720	67658816	ACD	Exon/CDS
chr16	67658816	67658928	ACD	Intron
chr16	67658928	67659079	ACD	Exon/CDS
chr16	67659079	67659229	ACD	Intron
chr16	67659229	67659263	ACD	Exon/CDS
chr16	67659263	67659375	ACD	Intron
chr16	67659375	67659419	ACD	Exon/CDS
chr16	67659419	67659537	ACD	Intron
chr16	67659537	67659613	ACD	Exon/CDS
chr16	67659613	67659702	ACD	Intron
chr16	67659702	67659795	ACD	Exon/CDS
chr16	67659795	67659903	ACD	Intron
chr16	67659903	67660045	ACD	Exon/CDS
chr16	67660045	67660122	ACD	Intron
chr16	67660122	67660220	ACD	Exon/CDS
chr16	67660220	67661810	ACD	Flanking Down
chr11	67467174	67483159	AIP	Flanking Up
chr11	67483159	67483257	AIP	Exon/CDS
chr11	67483257	67487006	AIP	Intron
chr11	67487006	67487185	AIP	Exon/CDS
chr11	67487185	67489267	AIP	Intron
chr11	67489267	67489455	AIP	Exon/CDS
chr11	67489455	67490038	AIP	Intron
chr11	67490038	67490214	AIP	Exon/CDS
chr11	67490214	67490316	AIP	Intron
chr11	67490316	67490457	AIP	Exon/CDS
chr11	67490457	67490788	AIP	Intron
chr11	67490788	67490993	AIP	Exon/CDS
chr11	67490993	67491154	AIP	Flanking Down
chr14	104769349	104770341	AKT1	Flanking Up
chr14	104770341	104770420	AKT1	Exon/CDS
chr14	104770420	104770745	AKT1	Intron
chr14	104770745	104770847	AKT1	Exon/CDS
chr14	104770847	104772365	AKT1	Intron
chr14	104772365	104772452	AKT1	Exon/CDS
chr14	104772452	104772878	AKT1	Intron
chr14	104772878	104773092	AKT1	Exon/CDS
chr14	104773092	104773251	AKT1	Intron
chr14	104773251	104773379	AKT1	Exon/CDS
chr14	104773379	104773455	AKT1	Intron
chr14	104773455	104773580	AKT1	Exon/CDS
chr14	104773580	104773912	AKT1	Intron
chr14	104773912	104773980	AKT1	Exon/CDS
chr14	104773980	104774938	AKT1	Intron
chr14	104774938	104775003	AKT1	Exon/CDS
chr14	104775003	104775076	AKT1	Intron
chr14	104775076	104775207	AKT1	Exon/CDS
chr14	104775207	104775652	AKT1	Intron
chr14	104775652	104775799	AKT1	Exon/CDS
chr14	104775799	104776659	AKT1	Intron
chr14	104776659	104776770	AKT1	Exon/CDS
chr14	104776770	104780088	AKT1	Intron
chr14	104780088	104780216	AKT1	Exon/CDS
chr14	104780216	104792598	AKT1	Intron
chr14	104792598	104792643	AKT1	Exon/CDS
chr14	104792643	104796751	AKT1	Flanking Down
chr2	29192774	29193224	ALK	Flanking Up
chr2	29193224	29193922	ALK	Exon/CDS
chr2	29193922	29196770	ALK	Intron
chr2	29196770	29196860	ALK	Exon/CDS
chr2	29196860	29197542	ALK	Intron
chr2	29197542	29197676	ALK	Exon/CDS
chr2	29197676	29207171	ALK	Intron
chr2	29207171	29207272	ALK	Exon/CDS
chr2	29207272	29209786	ALK	Intron
chr2	29209786	29209878	ALK	Exon/CDS
chr2	29209878	29213984	ALK	Intron
chr2	29213984	29214081	ALK	Exon/CDS
chr2	29214081	29220706	ALK	Intron
chr2	29220706	29220835	ALK	Exon/CDS
chr2	29220835	29222344	ALK	Intron
chr2	29222344	29222408	ALK	Exon/CDS
chr2	29222408	29222517	ALK	Intron
chr2	29222517	29222607	ALK	Exon/CDS
chr2	29222607	29223342	ALK	Intron
chr2	29223342	29223528	ALK	Exon/CDS
chr2	29223528	29225461	ALK	Intron
chr2	29225461	29225565	ALK	Exon/CDS
chr2	29225565	29226922	ALK	Intron
chr2	29226922	29227074	ALK	Exon/CDS
chr2	29227074	29227574	ALK	Intron
chr2	29227574	29227672	ALK	Exon/CDS
chr2	29227672	29228884	ALK	Intron
chr2	29228884	29229066	ALK	Exon/CDS
chr2	29229066	29232304	ALK	Intron
chr2	29232304	29232448	ALK	Exon/CDS
chr2	29232448	29233565	ALK	Intron
chr2	29233565	29233696	ALK	Exon/CDS
chr2	29233696	29239680	ALK	Intron
chr2	29239680	29239830	ALK	Exon/CDS
chr2	29239830	29251105	ALK	Intron
chr2	29251105	29251267	ALK	Exon/CDS
chr2	29251267	29275099	ALK	Intron
chr2	29275099	29275227	ALK	Exon/CDS
chr2	29275227	29275402	ALK	Intron
chr2	29275402	29275496	ALK	Exon/CDS
chr2	29275496	29296888	ALK	Intron
chr2	29296888	29297057	ALK	Exon/CDS
chr2	29297057	29318304	ALK	Intron
chr2	29318304	29318404	ALK	Exon/CDS
chr2	29318404	29320751	ALK	Intron
chr2	29320751	29320882	ALK	Exon/CDS
chr2	29320882	29328350	ALK	Intron
chr2	29328350	29328481	ALK	Exon/CDS
chr2	29328481	29383732	ALK	Intron
chr2	29383732	29383859	ALK	Exon/CDS
chr2	29383859	29531915	ALK	Intron
chr2	29531915	29532116	ALK	Exon/CDS
chr2	29532116	29694850	ALK	Intron
chr2	29694850	29695014	ALK	Exon/CDS
chr2	29695014	29717578	ALK	Intron
chr2	29717578	29717697	ALK	Exon/CDS
chr2	29717697	29919993	ALK	Intron
chr2	29919993	29920659	ALK	Exon/CDS
chr2	29920659	29922586	ALK	Flanking Down
chr10	26973793	27005590	ANKRD26	Flanking Up
chr10	27005590	27005723	ANKRD26	Exon/CDS
chr10	27005723	27006917	ANKRD26	Intron
chr10	27006917	27006962	ANKRD26	Exon/CDS
chr10	27006962	27012882	ANKRD26	Intron
chr10	27012882	27013110	ANKRD26	Exon/CDS
chr10	27013110	27014494	ANKRD26	Intron
chr10	27014494	27014711	ANKRD26	Exon/CDS
chr10	27014711	27017502	ANKRD26	Intron
chr10	27017502	27017792	ANKRD26	Exon/CDS
chr10	27017792	27022558	ANKRD26	Intron
chr10	27022558	27022687	ANKRD26	Exon/CDS
chr10	27022687	27024447	ANKRD26	Intron
chr10	27024447	27024559	ANKRD26	Exon/CDS
chr10	27024559	27028852	ANKRD26	Intron
chr10	27028852	27028945	ANKRD26	Exon/CDS
chr10	27028945	27029286	ANKRD26	Intron
chr10	27029286	27029356	ANKRD26	Exon/CDS
chr10	27029356	27033225	ANKRD26	Intron
chr10	27033225	27033377	ANKRD26	Exon/CDS
chr10	27033377	27034796	ANKRD26	Intron
chr10	27034796	27035752	ANKRD26	Exon/CDS
chr10	27035752	27037186	ANKRD26	Intron
chr10	27037186	27037323	ANKRD26	Exon/CDS
chr10	27037323	27037871	ANKRD26	Intron
chr10	27037871	27038054	ANKRD26	Exon/CDS
chr10	27038054	27039965	ANKRD26	Intron
chr10	27039965	27040178	ANKRD26	Exon/CDS
chr10	27040178	27043426	ANKRD26	Intron
chr10	27043426	27043567	ANKRD26	Exon/CDS
chr10	27043567	27044157	ANKRD26	Intron
chr10	27044157	27044190	ANKRD26	Exon/CDS
chr10	27044190	27046353	ANKRD26	Intron
chr10	27046353	27046523	ANKRD26	Exon/CDS
chr10	27046523	27048801	ANKRD26	Intron
chr10	27048801	27048979	ANKRD26	Exon/CDS
chr10	27048979	27053320	ANKRD26	Intron
chr10	27053320	27053390	ANKRD26	Exon/CDS
chr10	27053390	27060345	ANKRD26	Intron
chr10	27060345	27060417	ANKRD26	Exon/CDS
chr10	27060417	27060512	ANKRD26	Intron
chr10	27060512	27060540	ANKRD26	Exon/CDS
chr10	27060540	27061144	ANKRD26	Intron
chr10	27061144	27061242	ANKRD26	Exon/CDS
chr10	27061242	27063988	ANKRD26	Intron
chr10	27063988	27064081	ANKRD26	Exon/CDS
chr10	27064081	27066487	ANKRD26	Intron
chr10	27066487	27066548	ANKRD26	Exon/CDS
chr10	27066548	27067157	ANKRD26	Intron
chr10	27067157	27067286	ANKRD26	Exon/CDS
chr10	27067286	27077338	ANKRD26	Intron
chr10	27077338	27077540	ANKRD26	Exon/CDS
chr10	27077540	27077633	ANKRD26	Intron
chr10	27077633	27077693	ANKRD26	Exon/CDS
chr10	27077693	27079089	ANKRD26	Intron
chr10	27079089	27079161	ANKRD26	Exon/CDS
chr10	27079161	27082803	ANKRD26	Intron
chr10	27082803	27082833	ANKRD26	Exon/CDS
chr10	27082833	27086539	ANKRD26	Intron
chr10	27086539	27086609	ANKRD26	Exon/CDS
chr10	27086609	27092406	ANKRD26	Intron
chr10	27092406	27092512	ANKRD26	Exon/CDS
chr10	27092512	27093349	ANKRD26	Intron
chr10	27093349	27093522	ANKRD26	Exon/CDS
chr10	27093522	27093685	ANKRD26	Intron
chr10	27093685	27093799	ANKRD26	Exon/CDS
chr10	27093799	27100085	ANKRD26	Intron
chr10	27100085	27100326	ANKRD26	Exon/CDS
chr10	27100326	27101494	ANKRD26	Flanking Down
chr5	112706518	112754891	APC	Flanking Up
chr5	112754891	112755025	APC	Exon/CDS
chr5	112755025	112766326	APC	Intron
chr5	112766326	112766410	APC	Exon/CDS
chr5	112766410	112767189	APC	Intron
chr5	112767189	112767390	APC	Exon/CDS
chr5	112767390	112775629	APC	Intron
chr5	112775629	112775737	APC	Exon/CDS
chr5	112775737	112780790	APC	Intron
chr5	112780790	112780903	APC	Exon/CDS
chr5	112780903	112792446	APC	Intron
chr5	112792446	112792529	APC	Exon/CDS
chr5	112792529	112801279	APC	Intron
chr5	112801279	112801383	APC	Exon/CDS
chr5	112801383	112815495	APC	Intron
chr5	112815495	112815593	APC	Exon/CDS
chr5	112815593	112818966	APC	Intron
chr5	112818966	112819344	APC	Exon/CDS
chr5	112819344	112821896	APC	Intron
chr5	112821896	112821991	APC	Exon/CDS
chr5	112821991	112827108	APC	Intron
chr5	112827108	112827247	APC	Exon/CDS
chr5	112827247	112827929	APC	Intron
chr5	112827929	112828006	APC	Exon/CDS
chr5	112828006	112828856	APC	Intron
chr5	112828856	112828972	APC	Exon/CDS
chr5	112828972	112834951	APC	Intron
chr5	112834951	112835165	APC	Exon/CDS
chr5	112835165	112837553	APC	Intron
chr5	112837553	112844126	APC	Exon/CDS
chr5	112844126	112846239	APC	Flanking Down
chr10	61900684	61901710	ARID5B	Flanking Up
chr10	61901710	61901730	ARID5B	Exon/CDS
chr10	61901730	61902159	ARID5B	Intron
chr10	61902159	61902413	ARID5B	Exon/CDS
chr10	61902413	61940183	ARID5B	Intron
chr10	61940183	61940408	ARID5B	Exon/CDS
chr10	61940408	62000091	ARID5B	Intron
chr10	62000091	62000321	ARID5B	Exon/CDS
chr10	62000321	62050888	ARID5B	Intron
chr10	62050888	62051000	ARID5B	Exon/CDS
chr10	62051000	62057117	ARID5B	Intron
chr10	62057117	62057318	ARID5B	Exon/CDS
chr10	62057318	62059243	ARID5B	Intron
chr10	62059243	62059295	ARID5B	Exon/CDS
chr10	62059295	62069700	ARID5B	Intron
chr10	62069700	62069797	ARID5B	Exon/CDS
chr10	62069797	62085702	ARID5B	Intron
chr10	62085702	62085900	ARID5B	Exon/CDS
chr10	62085900	62090862	ARID5B	Intron
chr10	62090862	62093030	ARID5B	Exon/CDS
chr10	62093030	62096944	ARID5B	Flanking Down
chr14	96279195	96285755	ATG2B	Flanking Up
chr14	96285755	96285985	ATG2B	Exon/CDS
