2	240858824	240880502	AGXT	+
6	135283407	135502434	AHI1	-
16	88809339	88821928	APRT	-
7	138706294	138809560	ATP6V0A4	-
2	70925900	70965431	ATP6V1B1	+
X	153892531	153907166	AVPR2	+
12	76344474	76358415	BBS10	-
3	122173668	122291629	CASR	+
1	207742037	207795513	CD46	+
12	88049016	88152099	CEP290	-
1	196641754	196752476	CFH	+
X	49912596	50099235	CLCN5	+
2	227002714	227314792	COL4A3	.
2	227002714	227314792	COL4A4	.
X	108429838	108697545	COL4A5	+
17	3626459	3663103	CTNS	+
3	186557403	186585800	DNAJB11	+
17	37686431	37755059	HNF1B	-
9	126603928	126701032	LMX1B	+
1	155185824	155202916	MUC1	-
2	110122311	110215066	NPHP1	-
1	5862811	6002473	NPHP4	-
19	35825372	35879287	NPHS1	-
1	179550539	179585952	NPHS2	-
16	2088708	2145898	PKD1	-
4	87997635	88077777	PKD2	+
6	51615299	52097613	PKHD1	-
16	56855207	56915850	SLC12A3	+
17	44248390	44278141	SLC4A1	-
8	93744844	93819234	TMEM67	+
11	101451564	101882562	TRPC6	-
16	20333051	20366301	UMOD	-
11	32387775	32445564	WT1	-
